periodo,estu_genero,cole_area_ubicacion,cole_bilingue,cole_naturaleza,cole_jornada,cole_caracter,cole_depto_ubicacion,fami_estratovivienda,fami_educacionmadre,fami_educacionpadre,fami_personashogar,fami_tieneautomovil,fami_tienecomputador,fami_tieneinternet,fami_tienelavadora,punt_global,punt_matematicas,punt_lectura_critica,punt_c_naturales,punt_sociales_ciudadanas,punt_ingles
20224,F,URBANO,N,OFICIAL,UNICA,TÉCNICO/ACADÉMICO,CAQUETA,Estrato 2,Primaria incompleta,Primaria incompleta,5 a 6,No,No,No,Si,237,44,50,41,50,60.0
20224,F,URBANO,N,OFICIAL,MAÑANA,TÉCNICO/ACADÉMICO,QUINDIO,Estrato 2,Educación profesional completa,No Aplica,3 a 4,No,No,Si,Si,214,42,40,43,46,44.0
20224,F,URBANO,N,NO OFICIAL,COMPLETA,ACADÉMICO,ANTIOQUIA,Estrato 3,Educación profesional completa,No sabe,3 a 4,Si,Si,Si,Si,254,53,47,54,47,57.0
20224,M,URBANO,N,NO OFICIAL,MAÑANA,ACADÉMICO,VALLE,Estrato 2,Técnica o tecnológica completa,No sabe,3 a 4,No,Si,Si,Si,341,71,69,66,68,64.0
20224,F,URBANO,N,OFICIAL,NOCHE,TÉCNICO/ACADÉMICO,VALLE,Estrato 2,Primaria incompleta,Primaria incompleta,3 a 4,No,No,Si,No,249,48,60,46,48,42.0
20224,F,URBANO,N,NO OFICIAL,MAÑANA,ACADÉMICO,ATLANTICO,Estrato 3,No sabe,No sabe,5 a 6,No,Si,Si,Si,220,44,47,47,39,40.0
20224,M,URBANO,N,NO OFICIAL,MAÑANA,ACADÉMICO,VALLE,Estrato 2,Educación profesional incompleta,Secundaria (Bachillerato) incompleta,1 a 2,No,No,Si,Si,285,54,65,57,53,53.0
20224,F,URBANO,N,OFICIAL,UNICA,ACADÉMICO,TOLIMA,Estrato 2,Secundaria (Bachillerato) incompleta,Primaria incompleta,3 a 4,Si,No,Si,Si,189,37,37,42,37,32.0
20224,F,URBANO,N,NO OFICIAL,TARDE,TÉCNICO,HUILA,Estrato 1,Ninguno,Ninguno,1 a 2,No,No,Si,Si,226,37,55,44,46,41.0
20224,F,URBANO,N,NO OFICIAL,COMPLETA,ACADÉMICO,CORDOBA,Estrato 2,Educación profesional completa,Técnica o tecnológica completa,1 a 2,Si,Si,Si,Si,264,50,56,53,52,53.0
20224,M,URBANO,N,OFICIAL,UNICA,ACADÉMICO,CORDOBA,Estrato 1,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,3 a 4,No,Si,Si,Si,257,52,50,53,49,56.0
20224,F,URBANO,N,NO OFICIAL,MAÑANA,TÉCNICO/ACADÉMICO,VALLE,Estrato 2,Secundaria (Bachillerato) incompleta,Técnica o tecnológica completa,3 a 4,No,No,Si,No,240,48,51,45,48,47.0
20224,M,URBANO,N,NO OFICIAL,MAÑANA,ACADÉMICO,BOLIVAR,Estrato 2,No sabe,No sabe,3 a 4,Si,Si,Si,Si,339,61,70,61,75,80.0
20224,M,URBANO,N,OFICIAL,UNICA,TÉCNICO,ANTIOQUIA,Estrato 3,Primaria incompleta,Primaria incompleta,5 a 6,No,No,Si,Si,312,56,71,60,63,62.0
20224,M,URBANO,N,NO OFICIAL,COMPLETA,ACADÉMICO,BOGOTÁ,Estrato 3,Postgrado,Postgrado,3 a 4,Si,Si,Si,Si,391,80,78,71,83,80.0
20224,F,URBANO,N,OFICIAL,MAÑANA,ACADÉMICO,SUCRE,Estrato 1,Primaria incompleta,Primaria completa,5 a 6,No,No,No,Si,218,46,41,47,39,49.0
20224,F,RURAL,N,OFICIAL,MAÑANA,ACADÉMICO,ANTIOQUIA,Sin Estrato,Secundaria (Bachillerato) completa,No sabe,3 a 4,No,No,No,Si,184,35,40,39,30,46.0
20224,F,URBANO,N,NO OFICIAL,MAÑANA,TÉCNICO,VALLE,Estrato 1,Primaria completa,Primaria incompleta,5 a 6,No,No,No,No,282,50,63,53,58,60.0
20224,F,URBANO,N,OFICIAL,MAÑANA,ACADÉMICO,ANTIOQUIA,Estrato 1,Secundaria (Bachillerato) incompleta,No sabe,1 a 2,No,Si,No,Si,285,56,58,52,64,50.0
20224,F,RURAL,N,OFICIAL,UNICA,TÉCNICO/ACADÉMICO,CESAR,Estrato 1,Primaria incompleta,Primaria incompleta,3 a 4,Si,No,No,Si,258,57,57,45,48,49.0
20224,M,URBANO,N,OFICIAL,UNICA,ACADÉMICO,CASANARE,Estrato 2,Secundaria (Bachillerato) incompleta,Primaria completa,3 a 4,No,No,Si,No,279,61,53,61,50,51.0
20224,F,URBANO,N,OFICIAL,UNICA,TÉCNICO/ACADÉMICO,PUTUMAYO,Estrato 1,Secundaria (Bachillerato) completa,Primaria completa,3 a 4,No,No,No,No,364,75,77,72,70,65.0
20224,F,URBANO,N,OFICIAL,TARDE,TÉCNICO/ACADÉMICO,BOGOTÁ,Estrato 2,Primaria incompleta,Ninguno,3 a 4,No,No,Si,Si,202,45,47,35,32,48.0
20224,M,RURAL,N,OFICIAL,MAÑANA,ACADÉMICO,SANTANDER,Estrato 2,Primaria completa,Primaria incompleta,3 a 4,No,No,No,Si,243,58,46,51,45,32.0
20224,F,URBANO,N,OFICIAL,MAÑANA,ACADÉMICO,CORDOBA,Estrato 1,Primaria incompleta,Primaria incompleta,5 a 6,No,No,Si,Si,194,44,38,38,36,37.0
20224,F,URBANO,N,OFICIAL,MAÑANA,TÉCNICO/ACADÉMICO,META,Estrato 1,Primaria incompleta,Primaria incompleta,3 a 4,No,Si,Si,Si,217,49,47,38,42,35.0
20224,F,URBANO,N,OFICIAL,TARDE,ACADÉMICO,CORDOBA,Estrato 1,Primaria completa,Primaria completa,5 a 6,No,No,No,Si,176,35,36,35,33,41.0
20224,F,URBANO,N,NO OFICIAL,COMPLETA,ACADÉMICO,ANTIOQUIA,Estrato 3,Secundaria (Bachillerato) completa,Técnica o tecnológica completa,1 a 2,Si,Si,Si,Si,282,61,60,48,59,49.0
20224,M,RURAL,N,OFICIAL,UNICA,ACADÉMICO,BOLIVAR,Estrato 1,Primaria incompleta,Primaria incompleta,5 a 6,No,No,Si,Si,255,61,36,59,51,41.0
20224,M,URBANO,N,OFICIAL,NOCHE,ACADÉMICO,TOLIMA,Estrato 1,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,3 a 4,No,Si,Si,Si,195,40,46,36,32,44.0
20224,M,URBANO,N,OFICIAL,MAÑANA,ACADÉMICO,BOGOTÁ,Estrato 4,No sabe,No sabe,3 a 4,No,Si,Si,No,346,71,79,68,62,59.0
20224,F,URBANO,N,OFICIAL,UNICA,TÉCNICO/ACADÉMICO,RISARALDA,Estrato 1,Secundaria (Bachillerato) incompleta,No sabe,3 a 4,No,Si,No,No,185,34,38,39,38,33.0
20224,F,URBANO,N,OFICIAL,TARDE,ACADÉMICO,CORDOBA,Estrato 1,Educación profesional completa,Educación profesional completa,3 a 4,No,No,Si,Si,216,32,59,39,46,33.0
20224,F,RURAL,N,OFICIAL,UNICA,ACADÉMICO,NARIÑO,Estrato 1,Primaria incompleta,Primaria incompleta,7 a 8,Si,Si,No,Si,289,62,54,65,53,50.0
20224,M,URBANO,N,OFICIAL,MAÑANA,ACADÉMICO,CAQUETA,Estrato 1,Secundaria (Bachillerato) incompleta,Primaria completa,5 a 6,No,No,No,Si,311,63,63,61,62,61.0
20224,M,URBANO,N,OFICIAL,MAÑANA,ACADÉMICO,BOYACA,Estrato 3,Técnica o tecnológica completa,Técnica o tecnológica completa,7 a 8,No,Si,Si,Si,339,67,76,69,58,72.0
20224,F,URBANO,N,NO OFICIAL,COMPLETA,TÉCNICO,SANTANDER,Estrato 4,Postgrado,No sabe,3 a 4,Si,Si,Si,Si,327,66,65,66,62,73.0
20224,F,URBANO,N,OFICIAL,MAÑANA,TÉCNICO/ACADÉMICO,ANTIOQUIA,Estrato 3,Primaria completa,Secundaria (Bachillerato) completa,1 a 2,No,Si,Si,No,317,63,65,58,64,74.0
20224,F,URBANO,N,OFICIAL,MAÑANA,ACADÉMICO,ANTIOQUIA,Estrato 2,Técnica o tecnológica completa,No sabe,5 a 6,No,Si,Si,No,211,33,51,41,43,45.0
20224,M,RURAL,N,OFICIAL,MAÑANA,ACADÉMICO,SUCRE,Sin Estrato,Primaria completa,Primaria incompleta,5 a 6,No,No,No,Si,192,40,32,43,37,42.0
20224,M,URBANO,N,OFICIAL,MAÑANA,ACADÉMICO,NARIÑO,Estrato 1,Primaria incompleta,Ninguno,3 a 4,No,No,No,No,286,61,55,59,55,53.0
20224,F,URBANO,N,NO OFICIAL,MAÑANA,TÉCNICO/ACADÉMICO,VALLE,Estrato 1,Técnica o tecnológica incompleta,Secundaria (Bachillerato) completa,5 a 6,No,Si,Si,Si,293,60,57,59,57,63.0
